ID,Record type,Data owner,Latitude,Longitude,Common name,Scientific name,Total individuals,Year observed
197,Sighting,DPIPWE,-42.78,147.1,Unidentified dolphin,Unidentified dolphin,1,1997
198,Sighting,DPIPWE,-42.82,147.3,Unidentified dolphin,Unidentified dolphin,5,1997
199,Sighting,DPIPWE,-42.82,147.3,Unidentified dolphin,Unidentified dolphin,1,1997
200,Sighting,DPIPWE,-42.9,147.4,Unidentified dolphin,Unidentified dolphin,1,1997
201,Sighting,DPIPWE,-42.87,147.35,Unidentified dolphin,Unidentified dolphin,1,1997
202,Sighting,DPIPWE,-42.82,147.3,Unidentified dolphin,Unidentified dolphin,1,1997
203,Sighting,DPIPWE,-43.28,147.28,Unidentified dolphin,Unidentified dolphin,1,1996
204,Sighting,DPIPWE,-42.78,147.28,Unidentified dolphin,Unidentified dolphin,1,1996
205,Sighting,DPIPWE,-43.13,147,Unidentified dolphin,Unidentified dolphin,1,1996
206,Sighting,DPIPWE,-42.58,148.05,Unidentified dolphin,Unidentified dolphin,1,1995
207,Sighting,DPIPWE,-43.1477,146.9874,Unidentified dolphin,Unidentified dolphin,1,1994
208,Sighting,DPIPWE,-43.5665,146.5805,Unidentified dolphin,Unidentified dolphin,1,1994
209,Sighting,DPIPWE,-43.65,146.87,Unidentified dolphin,Unidentified dolphin,1,1994
210,Sighting,DPIPWE,-41.47,148.3,Unidentified dolphin,Unidentified dolphin,1,1994
211,Sighting,DPIPWE,-40.98,146.16,Unidentified dolphin,Unidentified dolphin,1,1994
212,Sighting,DPIPWE,-40.91,145.64,Unidentified dolphin,Unidentified dolphin,1,1994
213,Sighting,DPIPWE,-40.23,144.39,Unidentified dolphin,Unidentified dolphin,1,1994
214,Sighting,DPIPWE,-40.23,144.39,Unidentified dolphin,Unidentified dolphin,1,1994
215,Sighting,DPIPWE,-40.5014,144.4552,Unidentified dolphin,Unidentified dolphin,1,1994
216,Sighting,DPIPWE,-40.51,146.82,Unidentified dolphin,Unidentified dolphin,1,1994
217,Sighting,DPIPWE,-43.56,146.91,Unidentified dolphin,Unidentified dolphin,1,1994
218,Sighting,DPIPWE,-43.5935,146.5805,Unidentified dolphin,Unidentified dolphin,1,1994
219,Sighting,DPIPWE,-40.87,146.82,Unidentified dolphin,Unidentified dolphin,1,1994
220,Sighting,DPIPWE,-40.87,146.82,Unidentified dolphin,Unidentified dolphin,1,1994
